State,ANC_First,ANC_4,PNC_2Days,Delivery_Cost,Institutional_Delivery,CSection_Rate,Doctors_Required,Doctors_Sanctioned,Doctors_InPosition,Doctors_Vacant,Doctors_Shortfall,Specialists_Required,Specialists_Sanctioned,Specialists_InPosition,Specialists_Vacant,Specialists_Shortfall,Nursing_Required,Nursing_Sanctioned,Nursing_InPosition,Nursing_Vacant,Nursing_Shortfall,SubCentres_Rural,SubCentres_Urban,PHCs_Rural,PHCs_Urban,CHCs_Rural,CHCs_Urban,SC_Required,SC_InPosition,SC_Shortfall,SC_PctShortfall,PHC_Required,PHC_InPosition,PHC_Shortfall,PHC_PctShortfall,CHC_Required,CHC_InPosition,CHC_Shortfall,CHC_PctShortfall,MMR,CI_Lower,CI_Upper,Maternal_Mortality_Rate,Lifetime_Risk_Pct
Puducherry,82.4,86.9,93.1,3259.0,99.6,36.3,24.0,45.0,45.0,0.0,,12.0,0.0,0.0,0.0,12.0,45.0,133.0,148.0,,,53.0,28.0,24.0,15.0,3.0,1.0,97.0,53.0,44.0,45.0,16.0,24.0,,,4.0,3.0,1.0,25.0,,,,,
Punjab,68.5,59.3,86.2,3745.0,94.3,38.5,422.0,607.0,418.0,189.0,4.0,600.0,577.0,151.0,426.0,449.0,1472.0,2917.0,1854.0,1063.0,,2951.0,0.0,422.0,100.0,150.0,10.0,3575.0,2951.0,624.0,17.0,595.0,422.0,173.0,29.0,148.0,150.0,,,77.0,23.0,132.0,4.0,0.13
Rajasthan,76.3,55.3,85.3,2102.0,94.9,10.4,2133.0,2466.0,2150.0,316.0,,2464.0,1555.0,525.0,1030.0,1939.0,6445.0,11358.0,9283.0,2075.0,,13523.0,66.0,2133.0,276.0,616.0,69.0,13152.0,13523.0,,,2136.0,2133.0,3.0,0.0,534.0,616.0,,,87.0,51.0,124.0,7.0,0.25
Sikkim,63.7,58.4,69.3,8334.0,94.7,32.8,24.0,39.0,38.0,1.0,,8.0,0.0,0.0,0.0,8.0,38.0,141.0,145.0,,,147.0,6.0,24.0,2.0,2.0,0.0,88.0,147.0,,,14.0,24.0,,,3.0,2.0,1.0,33.0,,,,,
Tamil Nadu,77.4,89.9,93.2,3316.0,99.6,44.9,1422.0,2986.0,2722.0,264.0,,1540.0,337.0,249.0,88.0,1291.0,4117.0,8852.0,7911.0,941.0,,8713.0,0.0,1422.0,464.0,385.0,15.0,7235.0,8713.0,,,1202.0,1422.0,,,300.0,385.0,,,25.0,3.0,46.0,1.0,0.04
Telangana,88.5,70.4,87.6,3846.0,97.0,60.7,578.0,1162.0,802.0,360.0,,112.0,112.0,98.0,14.0,14.0,774.0,2094.0,1583.0,511.0,,4229.0,681.0,578.0,256.0,28.0,54.0,4379.0,4229.0,150.0,3.0,714.0,578.0,136.0,19.0,178.0,28.0,150.0,84.0,48.0,8.0,89.0,3.0,0.09
Tripura,63.2,52.7,71.9,6640.0,89.2,25.1,108.0,,236.0,,,84.0,,3.0,,81.0,255.0,,683.0,,,956.0,44.0,108.0,9.0,21.0,2.0,645.0,956.0,,,101.0,108.0,,,25.0,21.0,4.0,16.0,,,,,
Uttar Pradesh,62.5,42.4,72.0,2300.0,83.4,13.7,2919.0,4448.0,2890.0,1558.0,29.0,3316.0,2946.0,918.0,2028.0,2398.0,8722.0,11684.0,6588.0,5096.0,2134.0,20781.0,0.0,2919.0,594.0,829.0,12.0,35772.0,20781.0,14991.0,42.0,5955.0,2919.0,3036.0,51.0,1488.0,829.0,659.0,44.0,154.0,115.0,192.0,13.0,0.44
Uttarakhand,68.8,61.8,78.0,3343.0,83.2,20.4,531.0,623.0,483.0,140.0,48.0,208.0,162.0,36.0,126.0,172.0,895.0,718.0,351.0,367.0,544.0,1785.0,66.0,531.0,76.0,52.0,28.0,1526.0,1785.0,,,252.0,531.0,,,63.0,52.0,11.0,17.0,99.0,52.0,146.0,6.0,0.21
West Bengal,72.6,75.8,68.0,2683.0,91.7,32.6,915.0,1538.0,975.0,563.0,,1392.0,289.0,97.0,192.0,1295.0,3351.0,5331.0,5340.0,,,10357.0,0.0,915.0,456.0,348.0,0.0,13194.0,10357.0,2837.0,22.0,2171.0,915.0,1256.0,58.0,542.0,348.0,194.0,36.0,94.0,56.0,132.0,4.0,0.15
